Rk,Player,From,To,Yrs,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,ID
328,Danny Lucas,1979,1979,1,6,1,0,1,-2,0,1,0,0,0,0,0,0,8,12.5,,,lucasda02
329,Joffrey Lupul,2008,2009,2,135,45,51,96,3,93,32,13,0,7,28,23,0,370,12.2,2259,04:44:00 PM,lupuljo01
330,Olle Lycksell,2023,2024,2,9,0,1,1,-3,10,0,0,0,0,1,0,0,5,0,91,10:04:00 AM,lycksol01
331,Roman Lyubimov,2017,2017,1,47,4,2,6,-2,8,4,0,0,1,2,0,0,41,9.8,450,09:35:00 AM,lyubiro01
332,Al MacAdam,1974,1974,1,5,0,0,0,-2,0,0,0,0,0,0,0,0,2,0,,,macadal01
333,Andrew MacDonald,2014,2019,6,291,11,61,72,0,137,10,1,0,2,51,6,4,290,3.8,5691,07:33:00 PM,macdoan01
334,Zack MacEwen,2022,2023,2,121,7,11,18,-24,164,7,0,0,4,11,0,0,145,4.8,1291,10:40:00 AM,macewza01
335,Rick MacLeish,1971,1984,12,741,328,369,697,183,384,209,98,21,50,254,111,4,2403,13.6,,,macleri01
336,Ian MacNeil,2003,2003,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,20,10:08:00 AM,macneia01
337,Ralph MacSweyn,1968,1972,4,47,0,5,5,-3,10,0,0,0,0,4,0,1,24,0,,,macswra01
338,Craig MacTavish,1995,1996,2,100,8,17,25,-1,85,8,0,0,1,17,0,0,80,10,,,mactacr01
339,Kevin Maguire,1990,1990,1,5,1,0,1,-1,6,1,0,0,0,0,0,0,7,14.3,,,maguike01
340,Jim Mair,1971,1972,2,4,0,0,0,-3,0,0,0,0,0,0,0,0,9,0,,,mairji01
341,Vladimir Malakhov,2004,2004,1,6,0,1,1,-1,2,0,0,0,0,1,0,0,12,0,138,10:58:00 PM,malakvl01
342,Stewart Malgunas,1994,1995,2,71,1,3,4,1,90,1,0,0,0,3,0,0,55,1.8,,,malgust01
343,Kent Manderville,2000,2002,3,129,7,18,25,2,59,4,0,3,2,16,0,2,192,3.6,1491,11:34:00 AM,mandeke01
344,Mike Maneluk,1999,2000,2,14,2,6,8,4,12,2,0,0,0,5,1,0,25,8,190,01:35:00 PM,manelmi01
345,Brandon Manning,2012,2018,6,207,11,32,43,-2,212,10,0,1,4,31,1,0,283,3.9,3599,05:23:00 PM,mannibr01
346,Moe Mantha,1989,1992,2,35,3,8,11,-5,35,1,2,0,0,4,4,0,78,3.8,,,manthmo01
347,Danny Markov,2004,2004,1,34,2,3,5,0,58,1,1,0,1,2,1,0,27,7.4,723,09:16:00 PM,markoda01
348,Brad Marsh,1982,1988,7,514,14,96,110,98,636,13,0,1,3,89,3,4,524,2.7,,,marshbr01
349,Kevin Marshall,2012,2012,1,10,0,0,0,-1,8,0,0,0,0,0,0,0,6,0,88,08:46:00 AM,marshke01
350,Danick Martel,2018,2018,1,4,0,0,0,-1,0,0,0,0,0,0,0,0,6,0,41,10:13:00 AM,marteda01
351,Gerald Mayhew,2022,2022,1,25,6,0,6,-5,10,5,1,0,0,0,0,0,31,19.4,304,12:09:00 PM,mayhege01
352,Chris McAllister,2001,2003,3,121,2,7,9,-8,258,2,0,0,0,7,0,0,68,2.9,1263,10:26:00 AM,mcallch01
