Rk,Player,From,To,Yrs,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,ID
388,Ric Nattress,1993,1993,1,44,7,10,17,1,29,7,0,0,4,10,0,0,57,12.3,,,nattrri01
389,Petr Nedvěd,2006,2007,2,49,6,15,21,-28,54,4,2,0,0,8,6,1,65,9.2,819,04:43:00 PM,nedvepe01
390,Kris Newbury,2014,2014,1,4,0,1,1,0,7,0,0,0,0,1,0,0,1,0,20,05:02:00 AM,newbukr01
391,Janne Niinimaa,1997,1998,2,143,7,71,78,18,114,4,3,0,3,31,40,0,256,2.7,1366,,niinija01
392,Matt Niskanen,2020,2020,1,68,8,25,33,15,29,3,4,1,0,16,9,0,126,6.3,1490,09:54:00 PM,niskama01
393,Andreas Nödl,2009,2012,4,127,12,16,28,-4,20,10,1,1,2,16,0,0,141,8.5,1526,12:01:00 PM,nodlan01
394,Simon Nolet,1968,1974,7,358,93,108,201,28,129,68,25,0,11,70,38,0,861,10.8,,,noletsi01
395,Sean O'Donnell,2011,2011,1,81,1,17,18,8,87,1,0,0,0,16,0,1,34,2.9,1259,03:33:00 PM,odonnse01
396,Will O'Neill,2018,2018,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,09:25:00 AM,oneilwi01
397,Adam Oates*,2002,2002,1,14,3,7,10,-2,6,3,0,0,0,3,4,0,17,17.6,292,08:51:00 PM,oatesad01
398,Gino Odjick,2000,2001,2,30,4,4,8,2,38,4,0,0,1,4,0,0,45,8.9,263,08:46:00 AM,odjicgi01
399,Johnny Oduya,2018,2018,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,12,12:22:00 PM,oduyajo01
400,Randy Osburn,1975,1975,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,osburra01
401,Joel Otto,1996,1998,3,213,28,52,80,21,292,20,6,2,3,39,8,5,249,11.2,738,,ottojo01
402,John Paddock,1977,1983,3,47,5,8,13,-10,49,5,0,0,0,8,0,0,46,10.9,,,paddojo01
403,Rosaire Paiement,1968,1970,3,44,4,5,9,-14,74,4,0,0,0,5,0,0,98,4.1,,,paiemro01
404,Ryan Parent,2007,2010,4,102,1,6,7,-15,36,1,0,0,0,6,0,0,46,2.2,1617,03:51:00 PM,parenry01
405,Michel Parizeau,1972,1972,1,37,2,12,14,-6,10,1,1,0,1,9,3,0,39,5.1,,,parizmi01
406,Richard Park,1999,1999,1,7,0,0,0,-1,0,0,0,0,0,0,0,0,5,0,65,09:21:00 AM,parkri01
407,Greg Paslawski,1993,1993,1,60,14,19,33,0,12,10,4,0,0,16,3,0,90,15.6,,,paslagr01
408,Joe Paterson,1985,1986,2,11,0,0,0,1,43,0,0,0,0,0,0,0,8,0,,,paterjo01
409,Nolan Patrick,2018,2021,3,197,30,40,70,-37,77,22,8,0,5,35,5,0,291,10.3,2778,02:06:00 PM,patrino01
410,Dennis Patterson,1980,1980,1,3,0,1,1,-1,0,0,0,0,0,1,0,0,3,0,,,pattede01
411,Mark Pederson,1991,1993,3,84,20,30,50,4,33,14,6,0,3,19,11,0,129,15.5,,,pederma01
412,Roger Pelletier,1968,1968,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,pellero01
413,Mike Peluso,2004,2004,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,09:34:00 AM,pelusmi02
414,Garry Peters,1968,1971,4,229,27,28,55,-44,209,21,3,3,5,23,3,2,483,5.6,,,peterga01
415,Michel Petit,1997,1997,1,20,0,3,3,2,51,0,0,0,0,3,0,0,13,0,,,petitmi01
416,Alexandre Picard,2006,2008,3,72,3,19,22,-24,23,2,1,0,0,13,6,0,68,4.4,1255,05:26:00 PM,picaral01
417,Michel Picard,2001,2001,1,7,1,4,5,6,0,0,1,0,0,3,1,0,12,8.3,100,02:14:00 PM,picarmi01
418,Joni Pitkänen,2004,2007,3,206,25,91,116,12,210,14,11,0,5,45,43,3,388,6.4,4443,09:34:00 PM,pitkajo01
419,Tyler Pitlick,2020,2020,1,63,8,12,20,11,12,8,0,0,1,12,0,0,76,10.5,759,12:03:00 PM,pitlity01
420,Derek Plante,2001,2001,1,12,1,2,3,0,4,1,0,0,0,2,0,0,20,5,198,04:30:00 PM,plantde01
421,Pierre Plante,1972,1973,2,26,1,3,4,-9,15,1,0,0,0,3,0,0,29,3.4,,,plantpi01
422,Václav Pletka,2002,2002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,11:34:00 AM,pletkva01
423,Shjon Podein,1995,1999,5,301,44,48,92,36,216,38,1,5,11,41,4,3,468,9.4,1313,93:45:00,podeish01
424,Ryan Poehling,2024,2024,1,32,4,7,11,-5,4,3,0,1,1,6,0,1,43,9.3,444,01:52:00 PM,poehlry01
425,Ryan Potulny,2006,2008,3,44,7,7,14,2,26,7,0,0,2,5,2,0,61,11.5,443,10:04:00 AM,potulry01
426,Jean Potvin,1972,1973,2,64,6,21,27,-7,16,3,3,0,2,4,17,0,50,12,,,potvije01
427,Dave Poulin,1983,1990,8,467,161,233,394,172,303,122,12,27,27,183,24,26,959,16.8,,,poulida02
428,Darroll Powe,2009,2011,3,204,22,21,43,-14,130,20,0,2,2,20,0,1,262,8.4,2389,11:43:00 AM,poweda01
429,Yves Preston,1979,1981,2,28,7,3,10,-1,4,6,1,0,2,2,1,0,20,35,,,prestyv01
430,Keith Primeau,2000,2006,6,312,87,126,213,39,414,62,24,1,14,96,24,6,636,13.7,5756,06:27:00 PM,primeke02
431,David Printz,2006,2007,2,13,0,0,0,-3,4,0,0,0,0,0,0,0,1,0,84,06:29:00 AM,printda01
432,Chris Pronger*,2010,2012,3,145,15,77,92,30,133,6,9,0,3,36,39,2,310,4.8,3543,24:26:00,prongch01
433,Brian Propp,1980,1990,11,790,369,480,849,299,664,246,103,20,55,295,161,24,2645,14,,,proppbr01
434,Vinny Prospal,1997,2008,3,77,14,33,47,0,27,9,5,0,1,22,11,0,135,10.4,806,44:46:00,prospva01
435,Nate Prosser,2021,2021,1,6,1,1,2,-7,0,1,0,0,0,1,0,0,5,20,78,01:03:00 PM,prossna01
436,Ivan Provorov,2017,2023,7,532,65,152,217,-28,196,55,10,0,11,110,37,5,1070,6.1,12810,24:05:00,provoiv01
437,Mika Pyörälä,2010,2010,1,36,2,2,4,-3,10,2,0,0,0,2,0,0,41,4.9,489,01:36:00 PM,pyorami01
438,Dan Quinn,1992,1996,2,102,18,40,58,-11,48,9,9,0,1,23,17,0,148,12.2,,,quinnda01
439,Yves Racine,1994,1994,1,67,9,43,52,-11,48,3,5,1,1,16,27,0,142,6.3,,,racinyv01
440,Branko Radivojevič,2004,2006,2,88,9,14,23,-6,80,8,1,0,1,10,4,0,108,8.3,1068,12:08:00 PM,radivbr01
441,Nate Raduns,2009,2009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,06:02:00 AM,radunna01
442,Michael Raffl,2014,2021,8,504,81,79,160,11,212,74,4,3,20,77,2,0,688,11.8,6617,01:08:00 PM,rafflmi01
443,Marcus Ragnarsson,2003,2004,2,113,9,15,24,17,90,6,3,0,2,8,6,1,134,6.7,2374,09:01:00 PM,ragnama01
444,Rob Ramage,1994,1994,1,15,0,1,1,-11,14,0,0,0,0,1,0,0,18,0,,,ramagro01
445,Paul Ranheim,2001,2003,3,187,15,15,30,3,56,12,1,2,0,12,0,3,235,6.4,2102,11:14:00 AM,ranhepa01
446,Isaac Ratcliffe,2022,2022,1,10,1,3,4,-1,10,1,0,0,0,1,2,0,14,7.1,107,10:45:00 AM,ratclis01
447,Mike Rathje,2006,2007,2,97,3,22,25,15,52,1,1,1,1,19,3,0,68,4.4,1965,08:15:00 PM,rathjmi01
448,Matt Read,2012,2018,7,437,87,100,187,2,81,69,11,7,17,79,19,2,755,11.5,7201,04:29:00 PM,readma01
449,Ryan Ready,2006,2006,1,7,0,1,1,0,0,0,0,0,0,1,0,0,9,0,57,08:08:00 AM,readyry01
450,Mark Recchi*,1992,2004,10,602,232,395,627,43,388,148,74,10,39,232,156,7,1538,15.1,8022,07:57:00 PM,recchma01
451,Darren Reid,2007,2007,1,14,0,0,0,-7,18,0,0,0,0,0,0,0,8,0,114,08:11:00 AM,reidda03
452,Mikael Renberg,1994,2000,6,366,128,168,296,78,210,94,34,0,16,126,42,0,1003,12.8,1570,02:32:00 PM,renbemi01
453,Mike Ricci,1991,1992,2,146,41,56,97,-18,157,19,20,2,4,39,16,1,270,15.2,,,riccimi01
454,Mike Richards,2006,2011,6,453,133,216,349,39,397,74,36,23,21,115,92,9,1169,11.4,8757,07:20:00 PM,richami02
455,Luke Richardson,1998,2002,5,387,7,28,35,59,618,4,2,1,1,27,0,1,296,2.4,6981,10:49:00 PM,richalu01
456,Dave Richter,1986,1986,1,50,0,2,2,-1,138,0,0,0,0,2,0,0,17,0,,,richtda01
457,Zac Rinaldo,2012,2015,4,223,8,16,24,-30,572,8,0,0,1,16,0,0,168,4.8,1795,08:03:00 AM,rinalza01
458,Rasmus Ristolainen,2022,2024,3,157,6,33,39,-15,74,4,1,1,0,26,5,2,207,2.9,3124,07:54:00 PM,ristora01
459,Bob Ritchie,1977,1977,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,ritchbo01
460,Gordie Roberts,1988,1988,1,11,1,2,3,7,15,1,0,0,0,2,0,0,9,11.1,,,robergo02
461,Randy Robitaille,2007,2007,1,28,5,12,17,-4,22,3,2,0,0,7,5,0,46,10.9,408,02:34:00 PM,robitra01
462,Leon Rochefort,1968,1969,2,139,35,42,77,-8,26,26,7,2,1,23,19,0,385,9.1,,,rochele01
463,Jeremy Roenick,2002,2004,3,216,67,106,173,53,211,42,23,2,10,71,32,3,492,13.6,3945,06:16:00 PM,roenije01
464,Russell Romaniuk,1996,1996,1,17,3,0,3,-2,17,2,1,0,0,0,0,0,13,23.1,,,romanru01
465,Bill Root,1988,1988,1,24,1,2,3,3,16,0,1,0,0,2,0,0,13,7.7,,,rootbi01
466,Jay Rosehill,2013,2014,2,45,3,0,3,-12,154,3,0,0,1,0,0,0,21,14.3,243,05:24:00 AM,rosehja01
467,Jared Ross,2009,2010,2,13,0,0,0,-5,2,0,0,0,0,0,0,0,16,0,100,07:43:00 AM,rossja01
468,Magnus Roupé,1988,1989,2,40,3,5,8,-5,42,2,1,0,0,4,1,0,52,5.8,,,roupema01
469,German Rubtsov,2020,2020,1,4,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,27,06:48:00 AM,rubtsge01
470,Darren Rumble,1991,1997,3,18,1,0,1,-1,4,1,0,0,0,0,0,0,18,5.6,,,rumblda01
471,Štefan Ružička,2006,2008,3,55,4,13,17,-1,47,3,1,0,0,9,4,0,86,4.7,635,11:33:00 AM,ruzicst01
472,Shaun Sabol,1990,1990,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,sabolsh01
473,Joe Sacco,2003,2003,1,34,1,5,6,0,20,1,0,0,1,5,0,0,48,2.1,424,12:27:00 PM,saccojo01
474,Don Saleski,1972,1979,8,476,118,117,235,100,602,95,12,11,20,106,8,3,1048,11.3,,,salesdo01
475,Kjell Samuelsson,1987,1998,9,545,35,106,141,101,815,30,4,1,5,88,16,2,579,6,822,,samuekj01
476,Ulf Samuelsson,2000,2000,1,49,1,2,3,8,58,1,0,0,1,2,0,0,17,5.9,768,03:40:00 PM,samueul01
477,Scott Sandelin,1991,1991,1,15,0,3,3,-3,0,0,0,0,0,2,1,0,4,0,,,sandesc01
478,Geoff Sanderson,2007,2007,1,58,11,18,29,-16,44,8,3,0,2,13,4,1,143,7.7,811,01:59:00 PM,sandege01
479,Linus Sandin,2022,2022,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,06:59:00 AM,sandili01
480,Travis Sanheim,2018,2024,7,452,40,124,164,-35,195,37,2,1,7,110,12,2,703,5.7,9345,08:40:00 PM,sanhetr01
481,Dick Sarrazin,1969,1972,3,100,20,35,55,-9,22,11,8,1,3,23,10,2,198,10.1,,,sarradi01
482,Andre Savage,2003,2003,1,16,2,1,3,2,4,2,0,0,1,1,0,0,13,15.4,125,07:49:00 AM,savagan01
483,Brian Savage,2006,2006,1,66,9,5,14,-18,28,4,4,1,1,4,1,0,102,8.8,879,01:19:00 PM,savagbr01
484,Luca Sbisa,2009,2009,1,39,0,7,7,-6,36,0,0,0,0,3,4,0,38,0,682,05:29:00 PM,sbisalu01
485,Brayden Schenn,2012,2017,6,424,109,137,246,-30,217,64,45,0,27,89,48,0,866,12.6,6943,04:22:00 PM,schenbr01
486,Luke Schenn,2013,2016,4,213,12,30,42,-6,140,12,0,0,0,29,0,1,245,4.9,3892,06:16:00 PM,schenlu01
487,Cliff Schmautz,1971,1971,1,31,8,12,20,3,23,8,0,0,2,6,6,0,65,12.3,,,schmacl01
488,Danny Schock,1971,1971,1,14,1,2,3,1,0,1,0,0,0,2,0,0,7,14.3,,,schocda01
489,Dave Schultz,1972,1976,5,297,51,64,115,70,1386,49,2,0,8,62,2,0,342,14.9,,,schulda01
490,Nick Schultz,2015,2017,3,189,3,26,29,2,99,3,0,0,1,25,1,0,164,1.8,3405,06:01:00 PM,schulni01
491,Glen Seabrooke,1987,1989,3,19,1,6,7,0,4,1,0,0,0,4,2,0,13,7.7,,,seabrgl01
492,Al Secord,1989,1989,1,20,1,0,1,-7,38,1,0,0,0,0,0,0,15,6.7,,,secoral01
493,Lukáš Sedlák,2023,2023,1,27,3,5,8,3,12,3,0,0,0,4,0,1,43,7,343,12:42:00 PM,sedlalu01
494,Nick Seeler,2022,2024,3,157,5,19,24,11,142,5,0,0,0,16,0,3,153,3.3,2311,02:43:00 PM,seeleni01
495,Dennis Seidenberg,2003,2006,3,92,6,14,20,0,26,4,2,0,0,10,3,1,171,3.5,1480,04:05:00 PM,seidede01
496,Brit Selby,1968,1969,2,119,25,28,53,-14,47,20,5,0,4,23,4,1,204,12.3,,,selbybr01
497,Anatoli Semenov,1995,1996,2,70,4,15,19,1,20,4,0,0,2,14,1,0,91,4.4,,,semenan01
498,Tom Sestito,2012,2013,2,21,2,1,3,-2,95,2,0,0,1,1,0,0,7,28.6,137,06:31:00 AM,sestito01
499,Patrick Sharp,2003,2006,3,66,10,5,15,1,67,9,1,0,4,5,0,0,80,12.5,595,09:01:00 AM,sharppa01
500,Jody Shelley,2011,2013,3,89,2,3,5,-6,191,2,0,0,0,3,0,0,50,4,536,06:01:00 AM,shelljo01
501,Mike Siklenka,2003,2003,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,04:26:00 AM,siklemi01
502,Mike Sillinger,1998,1999,2,52,11,14,25,-6,24,8,1,2,0,10,4,0,63,17.5,737,29:28:00,sillimi01
503,Jon Sim,2006,2006,1,39,7,7,14,-6,28,3,4,0,2,7,0,0,80,8.8,428,10:59:00 AM,simjo01
504,Wayne Simmonds,2012,2019,8,584,203,175,378,-78,784,109,91,3,34,115,60,0,1469,13.8,9978,05:05:00 PM,simmowa01
505,Reid Simpson,1992,1992,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,simpsre01
506,Ilkka Sinisalo,1982,1990,9,526,199,210,409,132,180,142,46,11,30,143,57,10,1076,18.5,,,sinisil01
507,Bob Sirois,1975,1976,2,4,1,0,1,1,4,1,0,0,0,0,0,0,3,33.3,,,siroibo01
508,Darryl Sittler*,1982,1984,3,191,84,94,178,29,148,56,26,2,13,70,20,4,558,15.1,,,sittlda01
509,Jarrod Skalde,2002,2002,1,1,0,0,0,0,2,0,0,0,0,0,0,0,5,0,12,12:25:00 PM,skaldja01
510,Wade Skolney,2006,2006,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,,7,06:52:00 AM,skolnwa01
511,John Slaney,2002,2004,2,5,0,2,2,2,0,0,0,0,0,1,1,0,1,0,78,03:37:00 PM,slanejo01
512,David Sloane,2009,2009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,06:44:00 AM,sloanda01
513,Derrick Smith,1985,1991,7,494,80,87,167,-3,338,77,0,3,12,83,1,3,841,9.5,,,smithde04
514,Jason Smith,2008,2008,1,77,1,9,10,-4,86,1,0,0,0,9,0,0,58,1.7,1381,05:56:00 PM,smithja01
515,Steve Smith,1982,1987,4,14,0,1,1,0,15,0,0,0,0,1,0,0,12,0,,,smithst04
516,Greg Smyth,1987,1988,2,49,1,6,7,-4,192,1,0,0,0,6,0,0,30,3.3,,,smythgr01
517,Dave Snuggerud,1993,1993,1,14,0,2,2,0,0,0,0,0,0,2,0,0,10,0,,,snuggda01
518,Radovan Somík,2003,2004,2,113,12,20,32,7,27,11,0,1,2,20,0,0,136,8.8,1533,01:34:00 PM,somikra01
519,Bruno St. Jacques,2002,2003,2,13,0,0,0,3,4,0,0,0,0,0,0,0,9,0,184,02:11:00 PM,stjacbr01
520,Marc Staal,2024,2024,1,15,1,1,2,1,8,1,0,0,0,1,0,0,6,16.7,201,01:22:00 PM,staalma01
521,Myron Stankiewicz,1969,1969,1,19,0,5,5,-11,25,0,0,0,0,5,0,0,43,0,,,stankmy01
522,Allan Stanley*,1969,1969,1,64,4,13,17,-5,28,2,2,0,0,4,7,2,75,5.3,,,stanlal01
523,Daryl Stanley,1984,1987,3,89,2,8,10,8,216,2,0,0,2,8,0,0,41,4.9,,,stanlda01
524,John Stevens,1987,1988,2,9,0,2,2,-1,14,0,0,0,0,1,1,0,2,0,,,stevejo01
525,Kevin Stevens,2001,2001,1,23,2,7,9,-2,18,2,0,0,0,7,0,0,31,6.5,293,12:43:00 PM,steveke01
526,Turner Stevenson,2006,2006,1,31,1,3,4,-2,45,0,0,1,0,2,0,1,26,3.8,258,08:20:00 AM,stevetu01
527,Chris Stewart,2020,2020,1,16,0,1,1,-7,21,0,0,0,0,1,0,0,5,0,124,07:47:00 AM,stewach02
528,P.J. Stock,2001,2001,1,31,1,3,4,-2,78,1,0,0,0,3,0,0,18,5.6,242,07:48:00 AM,stockpj01
529,Mike Stothers,1985,1988,4,12,0,1,1,-1,23,0,0,0,0,1,0,0,3,0,,,stothmi01
530,Petr Straka,2015,2015,1,3,0,2,2,1,0,0,0,0,0,2,0,0,2,0,28,09:27:00 AM,strakpe01
531,Art Stratton,1968,1968,1,12,0,4,4,-4,4,0,0,0,0,2,2,0,18,0,,,stratar01
532,Mark Streit,2014,2017,4,274,30,110,140,-16,120,19,11,0,4,60,50,0,463,6.5,5811,09:12:00 PM,streima01
533,Doug Sulliman,1989,1990,2,80,9,10,19,-4,8,8,0,1,1,9,0,1,80,11.3,,,sullido01
534,Maksim Sushko,2021,2021,1,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,09:34:00 AM,sushkma01
535,Bill Sutherland,1968,1971,4,124,42,29,71,4,40,29,10,3,6,23,5,1,224,18.8,,,suthebi01
536,Rich Sutter,1984,1986,3,204,36,47,83,41,381,34,2,0,3,46,1,0,317,11.4,,,sutteri01
537,Ron Sutter,1983,1991,9,555,137,223,360,68,856,117,14,6,23,199,14,10,1027,13.3,,,suttero01
538,Mark Suzor,1977,1977,1,4,0,1,1,2,4,0,0,0,0,1,0,0,4,0,,,suzorma01
539,Petr Svoboda,1995,1999,5,232,10,60,70,62,320,5,4,1,1,38,22,0,225,4.4,1560,62:25:00,svobope01
540,George Swarbrick,1971,1971,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,swarbge01
541,Michal Sýkora,2001,2001,1,49,5,11,16,9,26,3,1,1,1,7,4,0,71,7,806,04:27:00 PM,sykormi01
542,Danny Syvret,2009,2011,3,27,2,2,4,0,14,2,0,0,0,2,0,0,17,11.8,333,12:19:00 PM,syvreda01
543,Maxime Talbot,2012,2014,3,127,25,21,46,8,84,21,1,3,2,19,1,1,170,14.7,2003,03:46:00 PM,talboma01
544,Mark Taylor,1982,1984,3,64,8,25,33,24,24,7,0,1,3,21,4,0,73,11,,,tayloma01
545,Dmitri Tertyshny,1999,1999,1,62,2,8,10,-1,30,1,1,0,0,5,3,0,68,2.9,1150,06:33:00 PM,tertydm01
546,Chris Therien,1995,2006,11,753,29,130,159,126,583,19,8,2,6,114,10,6,1002,2.9,10526,10:12:00 PM,therich01
547,Nate Thompson,2020,2022,2,40,1,3,4,-14,40,1,0,0,0,3,0,0,28,3.6,483,12:05:00 PM,thompna01
548,Patrick Thoresen,2008,2008,1,21,0,5,5,-6,8,0,0,0,0,5,0,0,21,0,264,12:36:00 PM,thorepa01
549,Billy Tibbetts,2002,2002,1,9,0,1,1,-3,69,0,0,0,0,1,0,0,6,0,60,06:41:00 AM,tibbebi01
550,Brad Tiley,2001,2001,1,2,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,32,03:46:00 PM,tileybr01
551,Mattias Timander,2004,2004,1,34,1,4,5,13,19,0,0,1,0,4,0,0,43,2.3,626,06:25:00 PM,timanma01
552,Jussi Timonen,2007,2007,1,14,0,4,4,-10,6,0,0,0,0,4,0,0,8,0,199,02:11:00 PM,timonju01
553,Kimmo Timonen,2008,2014,7,519,38,232,270,44,304,18,15,5,4,93,135,4,857,4.4,11652,10:27:00 PM,timonki01
554,Dave Tippett,1994,1994,1,73,4,11,15,-20,38,2,0,2,1,11,0,0,45,8.9,,,tippeda01
555,Owen Tippett,2022,2024,3,135,43,35,78,-22,20,33,10,0,6,29,6,0,409,10.5,2232,04:32:00 PM,tippeow01
556,Rick Tocchet,1985,2002,11,621,232,276,508,59,1815,163,64,5,22,210,64,2,1474,15.7,1286,02:17:00 PM,tocchri01
557,Ole-Kristian Tollefsen,2010,2010,1,18,0,2,2,1,23,0,0,0,0,2,0,0,12,0,177,09:52:00 AM,tolleol01
558,Denis Tolpeko,2008,2008,1,26,1,5,6,-4,24,1,0,0,0,4,1,0,24,4.2,215,08:17:00 AM,tolpede01
559,Tim Tookey,1987,1987,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,tooketi01
560,Carsen Twarynski,2020,2021,2,22,1,0,1,-5,6,1,0,0,0,0,0,0,18,5.6,222,10:06:00 AM,twaryca01
561,R.J. Umberger,2006,2016,5,334,60,82,142,-31,112,44,14,2,6,60,14,8,589,10.2,4787,02:20:00 PM,umberrj01
562,Scottie Upshall,2007,2009,3,134,27,37,64,11,145,20,6,1,3,32,5,0,314,8.6,1866,01:56:00 PM,upshasc01
563,Ossi Väänänen,2009,2009,1,46,1,9,10,7,22,1,0,0,0,7,0,2,18,5.6,849,06:28:00 PM,vaanaos01
564,Ed Van Impe,1968,1976,9,620,19,107,126,68,891,14,5,0,2,94,10,3,723,2.6,,,vanimed01
565,James van Riemsdyk,2010,2023,8,527,146,151,297,-26,182,104,42,0,23,130,21,0,1222,11.9,8017,03:13:00 PM,vanrija01
566,Jim Vandermeer,2003,2008,3,75,6,8,14,3,79,5,1,0,1,6,1,1,72,8.3,1240,04:32:00 PM,vandeji01
567,Chris VandeVelde,2014,2017,4,250,17,28,45,-21,77,16,0,1,0,27,1,0,224,7.6,2991,11:58:00 AM,vandech01
568,Phil Varone,2019,2019,1,47,3,4,7,-2,8,3,0,0,0,4,0,0,34,8.8,372,07:55:00 AM,varonph01
569,Mike Vecchione,2017,2017,1,2,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,17,08:30:00 AM,vecchmi01
570,Kris Versteeg,2011,2011,1,27,7,4,11,4,24,5,1,1,0,4,0,0,52,13.5,415,03:22:00 PM,verstkr01
571,Dennis Ververgaert,1979,1980,2,95,23,24,47,5,30,21,2,0,3,21,3,0,150,15.3,,,vervede01
572,Claude Vilgrain,1994,1994,1,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,,,,vilgrcl01
573,Roman Vopat,1999,1999,1,48,0,3,3,-3,80,0,0,0,0,3,0,0,25,0,269,05:36:00 AM,vopatro01
574,Jakub Voráček,2012,2021,10,727,177,427,604,-17,385,131,46,0,25,265,162,0,1915,9.2,13084,06:00:00 PM,voracja01
575,Mikhail Vorobyev,2019,2020,2,35,2,3,5,-5,8,2,0,0,0,3,0,0,25,8,349,09:58:00 AM,vorobmi01
576,Matt Walker,2011,2012,2,8,0,0,0,-2,20,0,0,0,0,0,0,0,5,0,90,11:18:00 AM,walkema01
577,Sean Walker,2024,2024,1,37,4,8,12,6,20,2,0,2,1,6,1,1,64,6.3,761,08:35:00 PM,walkese01
578,Wes Walz,1992,1992,1,2,1,0,1,1,0,1,0,0,1,0,0,0,2,50,,,walzwe01
579,Todd Warriner,2003,2003,1,13,2,3,5,2,6,2,0,0,1,2,1,0,13,15.4,110,08:30:00 AM,warrito01
580,Steve Washburn,2000,2001,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,08:55:00 AM,washbst01
581,Jimmy Watson,1973,1982,10,613,38,148,186,295,492,32,3,3,5,131,14,3,794,4.8,,,watsoji02
582,Joe Watson,1968,1978,11,746,36,162,198,188,399,34,2,0,7,140,14,8,968,3.7,,,watsojo01
583,Jordan Weal,2016,2019,4,124,19,23,42,-9,38,15,4,0,2,21,2,0,187,10.2,1663,01:25:00 PM,wealjo01
584,Eric Weinrich,2002,2004,3,215,8,45,53,54,98,5,2,1,3,36,7,2,261,3.1,4607,09:26:00 PM,weinrer01
585,Dale Weise,2017,2019,3,152,17,17,34,-12,75,15,1,1,3,16,1,0,191,8.9,1821,11:59:00 AM,weiseda01
586,Jay Wells,1989,1990,2,126,5,35,40,1,313,5,0,0,1,22,13,0,143,3.5,,,wellsja01
587,Eric Wellwood,2011,2013,3,31,5,5,10,13,4,5,0,0,1,4,0,1,46,10.9,341,11:00:00 AM,wellwer01
588,Brian Wesenberg,1999,1999,1,1,0,0,0,1,5,0,0,0,0,0,0,0,0,,1,01:08:00 AM,wesenbr01
589,Blake Wesley,1980,1981,2,52,3,8,11,10,109,1,2,0,1,5,3,0,57,5.3,,,weslebl01
590,Peter White,1999,2004,4,104,10,21,31,1,24,9,1,0,1,17,2,2,94,10.6,1295,12:27:00 PM,whitepe01
591,Ryan White,2015,2016,2,107,17,11,28,-5,131,14,3,0,1,10,0,1,133,12.8,1316,12:18:00 PM,whitery01
592,Todd White,2000,2000,1,3,1,0,1,-1,0,1,0,0,0,0,0,0,4,25,31,10:29:00 AM,whiteto02
593,Bob Wilkie,1994,1994,1,10,1,3,4,-2,8,1,0,0,0,2,1,0,10,10,,,wilkibo01
594,Gord Williams,1982,1983,2,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,,,willigo01
595,Justin Williams,2001,2004,4,226,43,72,115,42,108,40,3,0,4,62,9,1,473,9.1,3256,02:24:00 PM,williju01
596,Maxwell Willman,2022,2023,2,50,4,2,6,-16,20,4,0,0,0,2,0,0,74,5.4,563,11:16:00 AM,willmma01
597,Behn Wilson,1979,1983,5,339,59,155,214,83,873,37,20,2,10,98,54,3,753,7.8,,,wilsobe02
598,Chris Winnes,1994,1994,1,4,0,2,2,1,0,0,0,0,0,2,0,0,4,0,,,winnech01
599,Jamie Wright,2003,2003,1,4,0,0,0,-1,4,0,0,0,0,0,0,0,2,0,38,09:27:00 AM,wrighja01
600,Keith Wright,1968,1968,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,,wrighke01
601,Larry Wright,1972,1976,3,38,1,2,3,-8,6,1,0,0,0,2,0,0,30,3.3,,,wrighla01
602,Keith Yandle,2022,2022,1,77,1,18,19,-47,14,0,1,0,0,8,10,0,105,1,1076,01:59:00 PM,yandlke01
603,Cameron York,2021,2024,4,124,10,33,43,-22,48,9,1,0,1,24,8,1,131,7.6,2530,08:24:00 PM,yorkca01
604,Mike York,2007,2007,1,34,4,4,8,-9,8,4,0,0,1,4,0,0,41,9.8,352,10:22:00 AM,yorkmi01
605,Tim Young,1985,1985,1,20,2,6,8,2,12,2,0,0,1,6,0,0,26,7.7,,,youngti01
